South Africa,312.5,345.34,433.27,465,477.75,487.54,494.86,1.3
South Korea,270.65,483.72,516.42,597.8,639.01,673.4,651.87,1.71
Spain and Andorra,230.35,312.1,369.12,288.29,271.21,271.76,259.31,0.68
Sri Lanka,4.25,11.46,14.53,13.82,21.53,25.44,27.57,0.07
Sudan and South Sudan,5.59,6.03,10.82,16.72,19.14,21.95,22.57,0.06
Suriname,0.91,1.49,1.69,1.72,2.12,2.01,2.06,0.01
Sweden,58.1,58.37,55.82,53.29,44.19,43.58,44.75,0.12
Switzerland and Liechtenstein,44.95,44.91,47.16,46.46,40.24,38.51,39.37,0.1
Syria,33.01,45.79,58.76,62.36,29.12,28.08,29.16,0.08
Taiwan,124.36,229.73,269.68,271.61,266.61,286.61,276.78,0.73
Tajikistan,12.27,2.81,3.28,3.13,5.34,7.57,8.92,0.02
Tanzania,2.11,3.1,5.9,7.19,12.93,13.1,13.34,0.04
Thailand,93.13,172,226.14,246.13,274.44,279.31,275.06,0.72
The Gambia,0.15,0.21,0.23,0.47,0.51,0.57,0.59,0
Timor-Leste,0.13,0.34,0.27,0.25,0.4,0.37,0.38,0
Togo,0.77,1.27,1.33,2.54,2.43,2.75,2.85,0.01
Tonga,0.06,0.11,0.12,0.18,0.12,0.12,0.13,0
Trinidad and Tobago,12.66,18.55,31.03,38.72,36.73,32.61,32.74,0.09
Tunisia,14.71,21.18,23.36,27.93,30.71,31.29,32.07,0.08
Turkey,150.16,227.41,246,308.8,364.82,422.21,415.78,1.09
Turkmenistan,45.63,39.36,52.94,61.62,75.45,82.83,90.52,0.24
Turks and Caicos Islands,0.01,0.01,0.01,0.11,0.17,0.14,0.13,0
Uganda,0.64,1.17,1.68,3.77,4.69,5.18,5.34,0.01
Ukraine,783.21,358.09,354.35,308.56,214.08,203.02,196.4,0.52
United Arab Emirates,56.92,88.38,122.4,171.86,201.84,215.88,222.61,0.59
United Kingdom,588.07,552.98,561.56,502.39,415.63,373.47,364.91,0.96
United States,5065.06,5917.36,5948.47,5567.64,5248.96,5243.74,5107.26,13.43
Uruguay,3.9,5.47,5.53,6.42,6.81,6.43,6.56,0.02
Uzbekistan,123.11,121.13,116.32,107.5,105.38,97.9,94.99,0.25
Vanuatu,0.13,0.06,0.06,0.12,0.08,0.08,0.09,0
Venezuela,102.57,132.66,152.61,189.14,168.69,122.58,110.06,0.29
Vietnam,20.48,56.37,99.82,155.22,204.46,257.38,305.25,0.8
Western Sahara,0.14,0.21,0.23,0.27,0.25,0.29,0.3,0
Yemen,6.89,15.5,21.78,26.1,13.94,10.55,10.89,0.03
Zambia,2.98,1.95,2.46,2.29,4.51,7.62,7.5,0.02
Zimbabwe,17.18,14.5,11.39,10,12.68,11.8,10.86,0.03
